,artist_name,song_title
0,Harry Styles,As It Was
1,Jack Harlow,First Class
2,Future Featuring Drake & Tems,Wait For U
3,NEW,Late Night Talking
4,Lizzo,About Damn Time
5,Glass Animals,Heat Waves
6,Latto,Big Energy
7,NEW,Music For A Sushi Restaurant
8,NEW,Matilda
9,Bad Bunny & Chencho Corleone,Me Porto Bonito
10,Imagine Dragons X JID,Enemy
11,The Kid LAROI & Justin Bieber,Stay
12,NEW,Daylight
13,NEW,Little Freak
14,NEW,Grapejuice
15,Bad Bunny,Titi Me Pregunto
16,Bad Bunny,Moscow Mule
17,Justin Bieber,Ghost
18,Doja Cat,Woman
19,Kendrick Lamar,N95
20,NEW,Satellite
21,NEW,Cinema
22,Morgan Wallen,Wasted On You
23,NEW,Daydreaming
24,NEW,Keep Driving
25,Morgan Wallen,You Proof
26,Ed Sheeran,Bad Habits
27,Dove Cameron,Boyfriend
28,NEW,Love Of My Life
29,NEW,Boyfriends
30,Bad Bunny & Rauw Alejandro,Party
31,Bad Bunny,Despues de La Playa
32,Kodak Black,Super Gremlin
33,Lil Nas X,Thats What I Want
34,Em Beihold,Numb Little Bug
35,Ed Sheeran,Shivers
36,Camila Cabello Featuring Ed Sheeran,Bam Bam
37,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
38,Future,Puffin On Zootiez
39,Megan Thee Stallion & Dua Lipa,Sweetest Pie
40,"Kendrick Lamar, Blxst & Amanda Reifer",Die Hard
41,Zach Bryan,Something In The Orange
42,Post Malone Featuring Roddy Ricch,Cooped Up
43,Jason Aldean,Trouble With A Heartbreak
44,Karol G,Provenza
45,Cody Johnson,'Til You Can't
46,Becky G X Karol G,MAMIII
47,Parmalee,Take My Name
48,Kendrick Lamar & Kodak Black,Silent Hill
49,Bad Bunny & Bomba Estereo,Ojitos Lindos
50,Walker Hayes,AA
51,The Kid LAROI,Thousand Miles
52,Lil Baby,In A Minute
53,JNR CHOI & Sam Tompkins,To The Moon!
54,Bad Bunny & Jhay Cortez,Tarot
55,Bad Bunny,Un Ratito
56,Scotty McCreery,Damn Strait
57,Doja Cat,Get Into It (Yuh)
58,NEW,Hotel Lobby (Unc And Phew)
59,Tate McRae,She's All I Wanna Be
60,Kendrick Lamar,Rich Spirit
61,Morgan Wallen,Thought You Should Know
62,Bad Bunny,Efecto
63,Ed Sheeran Featuring Lil Baby,2step
64,Bailey Zimmerman,Fall In Love
65,Thomas Rhett,Slow Down Summer
66,Shawn Mendes,When You're Gone
67,Cole Swindell / Lainey Wilson,Never Say Never
68,Lil Durk Featuring Gunna,What Happened To Virgil
69,Bad Bunny,Yo No Soy Celoso
70,Lil Baby,Right On
71,Tyga X Doja Cat,Freaky Deaky
72,Kendrick Lamar Featuring Sampha,Father Time
73,NEW,Like I Love Country Music
74,Miranda Lambert,If I Was A Cowboy
75,Jack Harlow,Dua Lipa
76,Bad Bunny,Neverita
77,Kendrick Lamar,Count Me Out
78,Kendrick Lamar,United In Grief
79,Bad Bunny & Tony Dize,La Corriente
80,"Nardo Wick, Lil Baby & Future",Me Or Sum
81,ERNEST Featuring Morgan Wallen,Flower Shops
82,Future Featuring Drake,I'm On One
83,Future,Love You Better
84,Gunna & Future Featuring Young Thug,Pushin P
85,Lady Gaga,Hold My Hand
86,Bad Bunny & Buscabulla,Andrea
87,"RE-
ENTRY",Circles Around This Town
88,Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl
89,"RE-
ENTRY",She Likes It
90,Summer Walker & SZA,No Love
91,"Kendrick Lamar, Baby Keem, & Sam Dew",Savior
92,"RE-
ENTRY",Whiskey On You
93,Bad Bunny,Aguacero
94,Bad Bunny,Un Coco
95,Bad Bunny & The Marias,Otro Atardecer
96,Kendrick Lamar & Taylour Paige,We Cry Together
97,Bad Bunny,Dos Mil 16
98,NEW,DFMU
99,"RE-
ENTRY",Hate Our Love
